tag	mc_id	extract
missing_vars	MC1	MC1 – Nom : Objectif – Méthode(s) d’entraînement – Variable(s) de progression – Sollicitation neuromusculaire – Système énergétique – Intention pédagogique variables de progression : I intensité de travail (% du max); T récupération (s); S séries; RE répétitions; RY tempo de travail (rythme) 1. R...
missing_vars	MC7.7	MC7.7 – Intervalles de puissance : sprints courts / rameur / vélocité – intervalles de puissance (1:3 / 1:4) – I(70 – 90%); T(15 – 30’’) effort / 45 – 90’’ récup; S(3 – 4); RE(4 – 6); RY(décharge / récupération) – fibres IIx/IIa, vitesse maximale, effort cyclique – anaérobie alactique – Améliorer...
other_pattern_mismatch	MC1.1	MC1.1 – (Re)mise en mouvement : mobilité douce – mobilité active guidée – I(amplitude libre, autochargé); T(30’’); S(2); RE(10 – 12); RY(moderato) – mixte, amplitude complète, symétrie bilatérale – aérobie – Reconnecter corps et esprit par des mouvements amples; progression douce par répétition m...
other_pattern_mismatch	MC1.2	MC1.2 – Activation motrice : coordination fluide – TABATA modifié (20’’/20’’ ou 20’’/30’’) – I(autochargé); T(20 – 30’’); S(3); RE(6 – 8 par exo); RY(soutenu) – coordination intersegmentaire, mouvements polyarticulaires – mixte – Stimuler le système nerveux et la coordination de base; Améliorer l...
other_pattern_mismatch	MC1.3	MC1.3 – Endurance de base : respiration contrôlée – circuits training continu / fractionné lent – I(autochargé); T(30 – 45’’); S(3); RE(10 – 12); RY(moderato) – fibres lentes, gestes locomoteurs fonctionnels, symétrie globale – aérobie – Recréer une base d’endurance générale; progression par temp...
other_pattern_mismatch	MC1.4	MC1.4 – Stabilisation posturale : gainage postural statique contrôlé – respiration diaphragmatique intégrée – I(gainage au poids du corps, appuis stables ou réduits); T(30 – 45’’); S(2 – 3); RE(1 – 2 postures); RY(contrôle strict) – équilibre agoniste/antagoniste, focus tronc profond – aérobie – ...
other_pattern_mismatch	MC1.5	MC1.5 – Mobilité active évoluée : amplitude étendue – mobilité active guidée – I(mobilité active autochargée); T(30 – 45’’); S(3); RE(8 – 10); RY(lent maîtrisé) – fibres mixtes, amplitude complète, focus articulations périphériques – mixte – Étendre le contrôle moteur; progression par précision e...
trailing_noise	MC2.4	MC2.4 – Routine structurée mixte : split haut/bas – split alterné haut/bas – I(70 %); T(90 – 105’’); S(4); RE(15); RY(soutenu modéré) – fibres mixtes, symétrie bilatérale, coordination haut/bas – mixte – Améliorer la coordination musculaire globale; progression par répartition fonctionnelle. ____...
trailing_noise	MC2.8	MC2.8 – Routine structurée mixte : split haut/bas – split alterné haut bas – I(75 %); T(1’30’’ – 1’45’’); S(4); RE(15); RY(soutenu) – fibres mixtes, coordination intersegmentaire, équilibre musculaire – mixte – Construire une routine équilibrée; progression par volume et agencement. _____________...
trailing_noise	MC3.4	MC3.4 – Focus zones clés : split haut/bas simple – Classique – I(75% (suite à un nouveau test max); T(1’45”); S(4); RE(12); RY(lent 3/3) – fibres IIa, focus zones spécifiques, amplitude complète – mixte – Renforcer certaines zones musculaires; progression via isolation progressive et volume ciblé...
trailing_noise	MC3.8	MC3.8 – Correction unilatérale : exercices isolés droite/gauche – Unilatérale structurée – I(65 – 75%); T(1”30’’); S(4); RE(12); RY(lent 3/3) – fibres IIa, symétrie gauche/droite, coordination unilatérale – mixte – Harmoniser les volumes musculaires; progression via latéralisation et contrôle pos...
trailing_noise	MC5.4	MC5.4 – Stabilisation : routine mixte – routine métabolique hebdomadaire – I(45 – 60%); T(30 – 45’’); S(3); RE(6 – 8 exercices dynamiques à rotation hebdomadaire); RY(variable selon jours) – symétrie globale, mix zones haut/bas, rythme variable – mixte – Installer une base durable; progression vi...
double_I_paren	MC2.11	MC2.11 – Mobilité avec résistance : exercices en amplitude maximale – contracté/relâché sous charge / mobilité sous tension – I(I(charge modérée ≈ 40 – 50 % du poids de corps / résistance élastique modérée); T(30’’); S(4); RE(10 reps ou postures dynamiques); RY(très lent/contrôlé) – fibres mixtes...
suffix_arrow	MC3.6	MC3.6 – Contrôle & tempo : excentriques lents puis volume dégressif – Tempo training + Dead Set – I(70% – >60% – >45% – >30%); T(2’30/3’); S(1 par enchaînement); RE(6 – >8 – >10 – >12); RY(excentrique lent puis fluide) – fibres IIa, tempo lent contrôlé, amplitude complète – anaérobie lactique – T...
suffix_arrow	MC10.2	MC10.2 – Progression structurée : alternance cardio / renfo – split spécifique mixte – I(45 – 60%); T(30 – 60’’); S(3 – 4); RE(10 – 12); RY(30/30 > 40/20 > 45/15 selon adaptation) – fibres mixtes, alternance filières, symétrie fonctionnelle – mixte – Créer une base polyvalente; progression via st...
suffix_arrow	MC11.12	MC11.12 – Circuit fonctionnel complet : mix effort réel / performance – circuit complet multi – dimensionnel – I(75 – 90%); T(60 – 120’’); S(3 – 4); RE(12 – 15); RY(densité équilibrée) – fibres mixtes, coordination complète, intensité progressive – anaérobie lactique – Développer la résilience gl...
suffix_arrow	MC12.12	MC12.12 – Reset physique : effort fluide + respiration + proprioception – reset physique – I(35 – 50%); T(60 – 90’’); S(3); RE(8 – 12); RY(flux régénérant) – proprioception, amplitude libre, régulation du tonus – aérobie – Recentrer le corps par des séquences fluides; progression par conscience c...
